step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
33,160,160000,22,147395,160,3277.033773511578,888.1222925433914,3799.1872897595167,-198.28585255146027,0.2780034,0.002,0.00821828842163086,0.43309760093688965,0.00096929073,0.007638417,3131.6790930871084,3277.033773511578,4313.518919424383,4290.981816037081
34,160,160000,23,147699,160,3301.5030816873536,851.0603699758856,3840.342743128538,-63.61126434803009,0.37007144,0.002,0.009638309478759766,0.4402146339416504,0.0009228046,0.004925873,3148.661491947133,3301.5030816873536,4313.518919424383,4290.981816037081
35,160,160000,33,143668,160,3223.6765997772573,964.6608646974181,3854.157969534397,-194.62032888829708,0.41701323,0.002,0.012582063674926758,0.42724037170410156,0.0008878037,0.0042775124,3156.1630027301458,3223.6765997772573,4313.518919424383,4290.981816037081
36,160,160000,28,145527,160,3292.5640377015807,929.9593484616645,3864.464719325304,-196.96924886107445,0.39545402,0.002,0.010837078094482422,0.4236302375793457,0.00090218283,0.004580453,3169.8031062272894,3292.5640377015807,4313.518919424383,4290.981816037081
37,160,160000,34,141062,160,3195.5722472973166,1084.0100136049243,3866.9532776772976,-193.56170737743378,0.41862252,0.002,0.009539365768432617,0.4157581329345703,0.00089369394,0.0044675805,3172.3800203342926,3195.5722472973166,4313.518919424383,4290.981816037081
38,160,160000,26,149816,160,3437.2649231895803,764.6050470333764,3933.8372869491577,-199.03812074661255,0.39614516,0.002,0.010553836822509766,0.4371073246002197,0.00094797515,0.004664466,3198.868510619822,3437.2649231895803,4313.518919424383,4290.981816037081
39,160,160000,34,141912,160,3252.6163688943257,1060.3923441218376,3944.0672768950462,-202.41261997818947,0.41575024,0.002,0.01022791862487793,0.41439008712768555,0.00088830595,0.0043216124,3204.243296447272,3252.6163688943257,4313.518919424383,4290.981816037081
40,160,160000,34,141861,160,3265.544300380163,1046.0991051081694,3931.8849759995937,-198.32817846536636,0.40146685,0.002,0.010343074798583984,0.4209742546081543,0.00092043396,0.004583355,3210.3733968405613,3265.544300380163,4313.518919424383,4290.981816037081
41,160,160000,37,139308,160,3221.4818418758455,1166.705405541004,3949.3350994735956,-186.57833501696587,0.43292463,0.002,0.009630441665649414,0.4135463237762451,0.0009136234,0.004374493,3211.48424134409,3221.4818418758455,4313.518919424383,4290.981816037081
42,160,160000,31,144927,160,3387.408804182429,949.5586734003253,4007.6123465299606,-193.61226885020733,0.42893195,0.002,0.010044574737548828,0.4284844398498535,0.0009077057,0.004265692,3229.076697627924,3387.408804182429,4313.518919424383,4290.981816037081
43,160,160000,25,146384,160,3430.650837888103,956.2418711082074,4020.7856914699078,-198.07645362615585,0.39310855,0.002,0.009853601455688477,0.4305903911590576,0.0008923928,0.0047030896,3249.234111653942,3430.650837888103,4313.518919424383,4290.981816037081
44,160,160000,19,151200,160,3584.2015326074325,766.9102590571083,4123.992899551988,-198.0801197886467,0.45276707,0.002,0.009965181350708008,0.4440429210662842,0.00086690986,0.0039554723,3282.730853749291,3584.2015326074325,4313.518919424383,4290.981816037081
45,160,160000,29,142430,160,3366.628745861538,1108.92383789933,4003.9119765758514,-197.9590906202793,0.4214187,0.002,0.009148359298706055,0.41774821281433105,0.0009052872,0.004588794,3291.120642960516,3366.628745861538,4313.518919424383,4290.981816037081
46,160,160000,23,148072,160,3521.4518242151476,914.3805197394134,4034.7015700638294,-186.17848399281502,0.42587054,0.002,0.010724782943725586,0.4356720447540283,0.0008927593,0.0044008084,3314.153761085979,3521.4518242151476,4313.518919424383,4290.981816037081
47,160,160000,37,138461,160,3289.79552736124,1178.5069489523848,4052.706738293171,-198.00607895851135,0.42646468,0.002,0.008953094482421875,0.41077208518981934,0.0009088771,0.0041929595,3311.7179377135053,3289.79552736124,4313.518919424383,4290.981816037081
48,160,160000,35,142751,160,3401.4594621616416,1015.4270898445498,4169.856635868549,-193.30812846124172,0.43909758,0.002,0.009757280349731445,0.4214951992034912,0.00091387844,0.0041977875,3320.692090158319,3401.4594621616416,4313.518919424383,4290.981816037081
49,160,160000,34,139959,160,3356.5680358023383,1150.9402568652783,4119.6091845184565,-200.3520091176033,0.46049413,0.002,0.011141538619995117,0.4131295680999756,0.0009188318,0.004085444,3324.279684722721,3356.5680358023383,4313.518919424383,4290.981816037081
50,160,160000,27,146302,160,3533.7695169203917,993.4522305436391,4100.456002026796,-179.88969388604164,0.47902918,0.002,0.010488271713256836,0.4308004379272461,0.0009150442,0.0038826242,3345.2286679424883,3533.7695169203917,4828.053217752823,4470.005616608995
51,160,160000,35,142016,160,3440.495245801844,1109.533309965995,4128.731665402651,-198.24396321177483,0.43578237,0.002,0.009933948516845703,0.42202281951904297,0.0008600746,0.004095383,3354.755325728424,3440.495245801844,4828.053217752823,4470.005616608995
52,160,160000,36,137927,160,3330.771774401702,1240.9855664692482,4176.351911604404,-198.22819909453392,0.43029466,0.002,0.009490251541137695,0.41055750846862793,0.0008931145,0.0043016896,3352.3569705957516,3330.771774401702,4828.053217752823,4470.005616608995
53,160,160000,35,143076,160,3477.1882429347374,1027.0876588958881,4189.136529326439,-184.04217311739922,0.43841413,0.002,0.009773492813110352,0.422304630279541,0.00084929174,0.004043944,3364.8400978296504,3477.1882429347374,4828.053217752823,4470.005616608995
54,160,160000,26,146495,160,3583.969849489257,977.4464933244718,4126.432038366795,-198.18898311257362,0.42996767,0.002,0.010112285614013672,0.4356660842895508,0.0009050295,0.004428204,3386.753072995611,3583.969849489257,4828.053217752823,4470.005616608995
55,160,160000,38,135497,160,3325.916400696896,1331.38410993514,4182.470632746816,-198.4148569703102,0.45198795,0.002,0.00939178466796875,0.40359926223754883,0.00085344317,0.0040564276,3380.6694057657396,3325.916400696896,4828.053217752823,4470.005616608995
56,160,160000,34,140793,160,3469.746394195035,1170.916793942828,4219.841099947691,-194.1882120668888,0.44477582,0.002,0.009668111801147461,0.4135727882385254,0.0008868939,0.0040620863,3389.5771046086693,3469.746394195035,4828.053217752823,4470.005616608995
57,160,160000,34,140385,160,3462.708262423519,1196.58717149129,4234.275840014219,-198.3245970606804,0.42983815,0.002,0.010010242462158203,0.4163362979888916,0.00090651395,0.004223056,3396.8902203901544,3462.708262423519,4828.053217752823,4470.005616608995
58,160,160000,26,145055,160,3610.715235057939,1055.8692626074444,4238.886974006891,-194.81071829795837,0.45416313,0.002,0.009388923645019531,0.4245126247406006,0.0008853809,0.004087381,3418.2727218569325,3610.715235057939,4828.053217752823,4470.005616608995
59,160,160000,33,143408,160,3592.635749192536,1087.4088922276721,4248.990618556738,-185.55611291527748,0.42702115,0.002,0.010306119918823242,0.4178013801574707,0.0008975613,0.0042399243,3435.709024590493,3592.635749192536,4828.053217752823,4470.005616608995
60,160,160000,40,141021,160,3511.8294830560685,1083.9870023467568,4250.521622747183,-193.86201632022858,0.4608126,0.002,0.010268449783325195,0.4140021800994873,0.00087606575,0.0039328,3443.3210704370504,3511.8294830560685,4828.053217752823,4470.005616608995
61,160,160000,30,142652,160,3581.435640299134,1123.3670027682367,4259.739323198795,-190.98926347494125,0.47170237,0.002,0.009557008743286133,0.41675376892089844,0.00087925344,0.0040301383,3457.1325274232586,3581.435640299134,4828.053217752823,4470.005616608995
62,160,160000,31,142818,160,3602.978577862773,1100.4315349544106,4322.921223253012,-5.856339395046234,0.44138795,0.002,0.009724855422973633,0.4255411624908447,0.0009000258,0.0042724274,3471.71713246721,3602.978577862773,4828.053217752823,4470.005616608995
63,160,160000,29,144352,160,3664.592118260544,1096.0653155716939,4305.865945458412,-121.68728253245354,0.473909,0.002,0.01060938835144043,0.42697763442993164,0.0008402617,0.0036934912,3491.004631046543,3664.592118260544,4828.053217752823,4470.005616608995
64,160,160000,40,138872,160,3512.2364350651856,1205.7257613096554,4313.098553061485,-197.94014477729797,0.4555708,0.002,0.0106048583984375,0.41176462173461914,0.00086122705,0.003980592,3493.1278114484076,3512.2364350651856,4828.053217752823,4470.005616608995
65,160,160000,34,141583,160,3600.907970323693,1162.368932628728,4291.644443333149,-198.05979326367378,0.43536183,0.002,0.010236024856567383,0.41860103607177734,0.0008876476,0.004280526,3503.905827335936,3600.907970323693,4828.053217752823,4470.005616608995
66,160,160000,30,142317,160,3641.7304740724153,1238.4726537082795,4395.2704193890095,-197.984777033329,0.4681121,0.002,0.010730504989624023,0.41672468185424805,0.00083063316,0.0037500635,3517.688292009584,3641.7304740724153,4828.053217752823,4470.005616608995
67,160,160000,51,135947,160,3455.555321110878,1267.1016466481688,4339.580740749836,-191.761321246624,0.43374398,0.002,0.010781288146972656,0.4072890281677246,0.00088503707,0.0039355904,3511.4749949197135,3455.555321110878,4828.053217752823,4470.005616608995
68,160,160000,30,143657,160,3702.313434246881,1126.3865210526658,4377.763708978891,-185.44337767362595,0.40835226,0.002,0.010001182556152344,0.4243457317352295,0.0008956777,0.004739657,3530.55883885243,3702.313434246881,4828.053217752823,4470.005616608995
69,160,160000,38,139479,160,3591.267050613789,1214.906189463993,4381.965976506472,-197.7512730360031,0.39762038,0.002,0.009439945220947266,0.417064905166626,0.0008752708,0.004564777,3536.629660028566,3591.267050613789,4828.053217752823,4470.005616608995
70,160,160000,39,141110,160,3629.2850579602646,1119.3088143778502,4359.159152954817,-173.9009035229683,0.40945208,0.002,0.009786605834960938,0.4151792526245117,0.00087805185,0.004238121,3545.895199821736,3629.2850579602646,4828.053217752823,4470.005616608995
71,160,160000,37,140614,160,3634.7654840922914,1198.5626220653508,4355.370354920626,-188.02731719613075,0.5002965,0.002,0.009247064590454102,0.4149971008300781,0.0008455069,0.0036850832,3554.7822282487914,3634.7654840922914,4828.053217752823,4470.005616608995
72,160,160000,36,137656,160,3562.991544469865,1363.8134981660712,4420.198733180761,-194.27844899892807,0.43053478,0.002,0.012061119079589844,0.40686774253845215,0.0008503451,0.0044093058,3555.6031598708987,3562.991544469865,4828.053217752823,4470.005616608995
73,160,160000,37,141053,160,3667.604958045669,1160.5647746390068,4434.546260744333,-181.51392915844917,0.4446095,0.002,0.009857416152954102,0.4155864715576172,0.0008624384,0.003894858,3566.8033396883757,3667.604958045669,4828.053217752823,4470.005616608995
74,160,160000,31,141268,160,3685.1701834400183,1197.5479990476242,4440.587373286486,-197.8367356657982,0.45007664,0.002,0.009749174118041992,0.4171123504638672,0.000855828,0.0039076954,3578.64002406354,3685.1701834400183,4828.053217752823,4470.005616608995
75,160,160000,42,136182,160,3542.9947652478236,1319.384064947784,4510.641651183367,-183.74741730093956,0.49259737,0.002,0.00852823257446289,0.40175890922546387,0.0008805657,0.003843531,3575.075498181968,3542.9947652478236,4828.053217752823,4470.005616608995
76,160,160000,45,133463,160,3472.9864747548477,1420.5748451217075,4480.720801025629,-200.52433961629868,0.4534248,0.002,0.009229660034179688,0.3958775997161865,0.000840968,0.0039526895,3564.866595839256,3472.9864747548477,4828.053217752823,4470.005616608995
77,160,160000,47,134118,160,3508.7640016377904,1410.6742853475819,4525.101317971945,-195.16329431533813,0.47814688,0.002,0.01021432876586914,0.3986682891845703,0.00086894806,0.0038433895,3559.2563364191096,3508.7640016377904,4828.053217752823,4470.005616608995
