step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
14,160,160000,0,160000,160,3581.879705911223,166.99836051666819,3960.02836689353,2639.384277999401,1.7492622,0.02,0.008676290512084961,0.3574862480163574,0.0070503247,0.011140678,3197.3586520481413,3581.879705911223,4325.575338011224,4329.436956413625
15,160,160000,0,160000,160,3633.321565378923,144.7333693461299,3926.4220606535673,3237.7222430109978,1.8321947,0.02,0.00901937484741211,0.36092591285705566,0.006703415,0.009966154,3240.9549433812194,3633.321565378923,4325.575338011224,4329.436956413625
16,160,160000,0,160000,160,3673.8340484108076,168.86265573911956,3979.559974491596,2839.2890609130263,1.4884666,0.02,0.008705854415893555,0.35698962211608887,0.0070145424,0.01657226,3284.242853884178,3673.8340484108076,4325.575338011224,4329.436956413625
17,160,160000,0,160000,160,3727.129956938769,225.9154928168825,4034.563391894102,1800.746655780822,1.5558394,0.02,0.008910655975341797,0.359163761138916,0.007036711,0.01618578,3328.5315641896373,3727.129956938769,4325.575338011224,4329.436956413625
18,160,160000,0,160000,160,3757.7245081054743,238.03506756902794,4124.942413061857,1410.6728340052068,1.5727761,0.02,0.00925755500793457,0.3634073734283447,0.0071741287,0.014355794,3371.450858581221,3757.7245081054743,4325.575338011224,4329.436956413625
19,160,160000,1,159042,160,3740.677485531464,446.2351357184294,4096.99060434103,-121.4344792664051,0.9836167,0.02,0.009066104888916016,0.3587055206298828,0.008197246,0.03820049,3408.3735212762454,3740.677485531464,4325.575338011224,4329.436956413625
20,160,160000,0,160000,160,3794.423690006067,291.8641053257538,4137.01242762804,763.5353705398738,1.568525,0.02,0.009217500686645508,0.35738229751586914,0.0069370735,0.013067994,3446.9785381492275,3794.423690006067,4325.575338011224,4329.436956413625
21,160,160000,0,160000,160,3832.573643812141,157.64451524046981,4211.020004853606,3425.4572610259056,1.841538,0.02,0.009185314178466797,0.36130452156066895,0.006767736,0.009746995,3485.538048715519,3832.573643812141,4325.575338011224,4329.436956413625
22,160,160000,1,159650,160,3829.892886535998,413.178055159368,4188.312158584595,770.7235568724573,1.7486701,0.02,0.009282112121582031,0.36336731910705566,0.00691605,0.014700174,3519.9735324975672,3829.892886535998,4325.575338011224,4329.436956413625
23,160,160000,1,159947,160,3882.8862256619614,281.3079424013136,4187.060188949108,993.5848994329572,1.6420332,0.02,0.009038209915161133,0.36101198196411133,0.0065327534,0.014456794,3556.264801814007,3882.8862256619614,4325.575338011224,4329.436956413625
